row_idx	col_idx	log2ratio
1	34	2588
2	34	1002
3	34	7868
4	34	1684
5	34	36853
6	34	3879
7	34	6768
8	34	1698
9	34	366
10	34	6695
11	34	413
12	34	195
13	34	1927
14	34	16108
15	34	5898
16	34	5306
17	34	0
18	34	11259
19	34	41
20	34	2777
21	34	4137
22	34	21735
23	34	27580
24	34	714
25	34	1520
26	34	4441
27	34	2270
28	34	639
29	34	623
30	34	1450
31	34	18391
32	34	20
33	34	35367
34	34	5162
35	34	2814
36	34	20569
37	34	598
38	34	5755
39	34	25758
40	34	6573
41	34	3292
42	34	151
43	34	14600
44	34	16111
45	34	1681
46	34	1154
47	34	11709
48	34	8685
49	34	7842
50	34	37401
51	34	484
1	35	2379
2	35	1406
3	35	6350
4	35	1438
5	35	28140
6	35	9001
7	35	17790
8	35	607
9	35	703
10	35	4154
11	35	418
12	35	2649
13	35	1620
14	35	16795
15	35	7661
16	35	10825
17	35	0
18	35	6229
19	35	230
20	35	7137
21	35	3154
22	35	26910
23	35	25303
24	35	1667
25	35	2670
26	35	1382
27	35	8246
28	35	119
29	35	674
30	35	1034
31	35	32528
32	35	0
33	35	47224
34	35	907
35	35	3715
36	35	11763
37	35	2099
38	35	13929
39	35	9437
40	35	3301
41	35	930
42	35	453
43	35	24474
44	35	66915
45	35	4125
46	35	2037
47	35	9660
48	35	20714
49	35	9970
50	35	14793
51	35	476
1	36	1165
2	36	1849
3	36	8878
4	36	1453
5	36	20028
6	36	6298
7	36	5859
8	36	1201
9	36	221
10	36	3754
11	36	200
12	36	3559
13	36	3910
14	36	10247
15	36	5871
16	36	7693
17	36	0
18	36	8819
19	36	143
20	36	482
21	36	2034
22	36	4495
23	36	41632
24	36	2710
25	36	671
26	36	2812
27	36	3391
28	36	234
29	36	269
30	36	42
31	36	10490
32	36	0
33	36	18799
34	36	1449
35	36	4366
36	36	14646
37	36	346
38	36	4787
39	36	12122
40	36	1223
41	36	2356
42	36	89
43	36	6825
44	36	16697
45	36	3080
46	36	1611
47	36	7377
48	36	4933
49	36	12505
50	36	58107
51	36	329
1	37	18118
2	37	1157
3	37	6310
4	37	1106
5	37	32650
6	37	3240
7	37	5289
8	37	394
9	37	344
10	37	7028
11	37	211
12	37	862
13	37	2286
14	37	15801
15	37	22281
16	37	22512
17	37	0
18	37	15076
19	37	117
20	37	3713
21	37	3125
22	37	7407
23	37	29023
24	37	345
25	37	5859
26	37	1074
27	37	4092
28	37	810
29	37	996
30	37	893
31	37	11744
32	37	1118
33	37	27599
34	37	1265
35	37	5278
36	37	19266
37	37	1038
38	37	8553
39	37	11736
40	37	2472
41	37	4001
42	37	69
43	37	23734
44	37	39353
45	37	2550
46	37	2381
47	37	11973
48	37	19978
49	37	9321
50	37	15425
51	37	286
1	38	2346
2	38	215
3	38	1593
4	38	1195
5	38	13864
6	38	6009
7	38	9222
8	38	519
9	38	157
10	38	3708
11	38	655
12	38	4054
13	38	3119
14	38	4565
15	38	2366
16	38	9309
17	38	0
18	38	3802
19	38	134
20	38	2949
21	38	1279
22	38	19505
23	38	28161
24	38	950
25	38	1150
26	38	2688
27	38	3928
28	38	470
29	38	225
30	38	372
31	38	4140
32	38	694
33	38	9296
34	38	419
35	38	4045
36	38	9277
37	38	244
38	38	3520
39	38	6644
40	38	3972
41	38	1262
42	38	116
43	38	9043
44	38	29509
45	38	4422
46	38	1457
47	38	4117
48	38	7587
49	38	14872
50	38	20407
51	38	751
1	39	1813
2	39	641
3	39	5438
4	39	1377
5	39	15197
6	39	1445
7	39	944
8	39	264
9	39	390
10	39	3931
11	39	244
12	39	145
13	39	1701
14	39	11521
15	39	5817
16	39	5453
17	39	0
18	39	4852
19	39	107
20	39	297
21	39	2133
22	39	831
23	39	14984
24	39	1683
25	39	1280
26	39	568
27	39	1928
28	39	169
29	39	64
30	39	79
31	39	2015
32	39	1272
33	39	10894
34	39	778
35	39	1376
36	39	6503
37	39	620
38	39	2499
39	39	5499
40	39	88
41	39	663
42	39	40
43	39	12718
44	39	25178
45	39	688
46	39	327
47	39	2256
48	39	5096
49	39	5564
50	39	31459
51	39	235
1	40	1346
2	40	148
3	40	1022
4	40	1269
5	40	5260
6	40	1635
7	40	106
8	40	56
9	40	27
10	40	1806
11	40	42
12	40	177
13	40	413
14	40	1306
15	40	678
16	40	826
17	40	97
18	40	1486
19	40	159
20	40	247
21	40	182
22	40	416
23	40	1151
24	40	137
25	40	678
26	40	340
27	40	343
28	40	532
29	40	269
30	40	27
31	40	612
32	40	612
33	40	1205
34	40	943
35	40	896
36	40	1220
37	40	806
38	40	1717
39	40	792
40	40	62
41	40	517
42	40	58
43	40	2068
44	40	13283
45	40	385
46	40	42
47	40	2346
48	40	5679
49	40	1496
50	40	2131
51	40	207
1	41	159
2	41	11
3	41	245
4	41	3
5	41	1648
6	41	499
7	41	707
8	41	24
9	41	6
10	41	573
11	41	4
12	41	37
13	41	21
14	41	1483
15	41	789
16	41	183
17	41	21
18	41	141
19	41	28
