YEAR	STATE	SUM	REGION
1937	PENNSYLVANIA	38270	Northeast
1937	RHODE ISLAND	4714	Northeast
1937	SOUTH CAROLINA	1787	South
1937	SOUTH DAKOTA	65	Midwest
1937	TENNESSEE	2974	South
1937	TEXAS	14694	South
1937	UTAH	2099	West
1937	VERMONT	1030	Northeast
1937	VIRGINIA	8739	South
1937	WASHINGTON	1737	West
1937	WEST VIRGINIA	1995	South
1937	WISCONSIN	2055	Midwest
1937	WYOMING	170	West
1938	ALABAMA	13841	South
1938	ALASKA	0	West
1938	ARIZONA	699	West
1938	ARKANSAS	6881	South
1938	CALIFORNIA	18527	West
1938	COLORADO	9163	West
1938	CONNECTICUT	1816	Northeast
1938	DELAWARE	608	South
1938	DISTRICT OF COLUMBIA	742	South
1938	FLORIDA	9175	South
1938	GEORGIA	9272	South
1938	HAWAII	0	West
1938	IDAHO	2189	West
1938	ILLINOIS	90081	Midwest
1938	INDIANA	17718	Midwest
1938	IOWA	5571	Midwest
1938	KANSAS	10745	Midwest
1938	KENTUCKY	11021	South
1938	LOUISIANA	1025	South
1938	MAINE	4300	Northeast
1938	MARYLAND	2813	South
1938	MASSACHUSETTS	10044	Northeast
1938	MICHIGAN	76122	Midwest
1938	MINNESOTA	7057	Midwest
1938	MISSISSIPPI	0	South
1938	MISSOURI	19869	Midwest
1938	MONTANA	6185	West
1938	NEBRSKA	2776	Midwest
1938	NEVADA	0	West
1938	NEW HAMPSHIRE	1658	Northeast
1938	NEW JERSEY	29400	Northeast
1938	NEW MEXICO	3231	West
1938	NEW YORK	70111	Northeast
1938	NORTH CAROLINA	47589	South
1938	NORTH DAKOTA	5589	Midwest
1938	OHIO	47471	Midwest
1938	OKLAHOMA	2714	South
1938	OREGON	1306	West
1938	PENNSYLVANIA	132342	Northeast
1938	RHODE ISLAND	252	Northeast
1938	SOUTH CAROLINA	6853	South
1938	SOUTH DAKOTA	1379	Midwest
1938	TENNESSEE	11391	South
1938	TEXAS	6011	South
1938	UTAH	9682	West
1938	VERMONT	5886	Northeast
1938	VIRGINIA	12557	South
1938	WASHINGTON	1909	West
1938	WEST VIRGINIA	10881	South
1938	WISCONSIN	72746	Midwest
1938	WYOMING	889	West
1939	ALABAMA	5143	South
1939	ALASKA	0	West
1939	ARIZONA	702	West
1939	ARKANSAS	2410	South
1939	CALIFORNIA	63748	West
1939	COLORADO	5886	West
1939	CONNECTICUT	15904	Northeast
1939	DELAWARE	252	South
1939	DISTRICT OF COLUMBIA	3276	South
1939	FLORIDA	2895	South
1939	GEORGIA	3623	South
1939	HAWAII	0	West
1939	IDAHO	3619	West
